time [h],exp.0 biomass conc. at 22 °C,exp.1 biomass conc. at 24 °C,exp.2 biomass conc. at 26 °C,exp.3 biomass conc. at 28 °C,exp.4 biomass conc. at 30 °C,exp.5 biomass conc. at 32 °C,exp.6 biomass conc. at 34 °C,exp.7 biomass conc. at 36 °C
18.0,0.5592927640824159,1.394155421700579,5.642268926822508,16.87514399556938,17.130555089883934,15.315696288741808,6.31030727408555,1.3466575206075977
19.0,0.4913328127864823,1.6353533035747017,6.89660197910977,21.84894380489693,24.586068219893896,19.71434406610673,6.313884898504107,2.091848450567544
20.0,0.6289067764934033,2.0232290039117022,8.835961925360074,22.26898648161482,23.020072839614567,24.95713603285727,8.344390496506124,1.9635506977500181
21.0,0.6668170468173432,2.5180723337733872,10.200928132394944,26.654415188203778,36.44652481296351,28.229895639840617,10.553112016217806,2.3309808725663648
22.0,0.6466305617475664,3.020772632720489,14.010347854624218,35.00134889766309,44.374704421996,36.48473981098468,9.866947324069193,2.402469427799343
23.0,0.7710429514373109,2.7575137804438836,13.834756196538379,34.46985307325119,51.26006270029814,45.07736082277033,15.865427307726751,2.6403905653186275
24.0,0.8284003543433363,3.8740187124772567,19.319869900043493,44.408730390682656,58.31319496896835,47.981861569847176,19.99865898331887,3.382556517616977
25.0,0.9159404088028482,4.707071109262968,24.86774037303575,49.303825507766184,45.455051900417786,49.99111109188683,22.824499118935307,4.477602134634299
26.0,1.1173254940698674,4.480783117082962,30.259783398657035,61.008698127110385,71.43635610450978,49.31493878248447,25.174387513951643,5.183857834537582
27.0,1.0148306086783327,4.4723215242101535,30.03855136257922,58.481615558449924,78.20196985269071,58.44690274420961,33.668350379144705,5.251477692274313
28.0,1.0044865918055033,5.332120344089916,29.54199947872568,62.9458955399144,69.34713973246726,53.1831334886879,32.27099226489344,6.586983042168952
29.0,1.3326226559512953,8.245839414679224,40.66831447365364,54.185302911260024,63.357209468672366,54.54573324354265,35.4928692551146,6.9732574934201255
30.0,1.3038529933412601,8.246790135494358,35.52296941054874,61.987387920644245,67.94231784424605,63.85547081147637,53.29095349502491,9.546438855717643
31.0,1.3300039050760684,8.828105187482992,43.67847906053127,75.49764920439151,92.72178113256797,69.92915716796752,44.9546073308519,8.249636322983225
32.0,1.490456000729786,12.600347663292618,40.11000993003826,64.6442889683849,66.81339274978721,75.82584699287744,55.63142607982302,11.892078019355518
33.0,1.668060279745653,12.576614345682986,55.62438355522677,79.92100394717843,83.67833279409885,61.81732799168541,57.36641348924479,11.622665620588425
34.0,1.8659631014646552,14.149242071519552,69.56562485821394,70.13160677313296,74.05629343191744,59.76861726258445,58.40084485177752,15.958308187978501
35.0,2.32623858707741,12.905105284512345,60.762012789464364,78.25490086073827,64.3994042466647,89.12082396441384,61.2975965697888,16.036141846492516
36.0,2.3418742122913896,17.74694212073914,61.30585343391663,64.65565140885127,79.76037358645603,71.26980681324231,58.05352507667926,16.046002240239496
