File_Type,GValue
File_Version,2
GP,
MTP_Type,24Wells_Square
MTP_Wells_X,6
MTP_Wells_Y,4
Timestamp,20210507_171028
MTP,3
Plate-ID,
Cal File Used,cal_white24square
Well_Distance_X_MM,18
Well_Distance_Y_MM,18
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,6,0
Rectangle_Spot_Size_Y_MM,6,0
Deviation_From_Center_X_MM,0,0
Deviation_From_Center_Y_MM,0,0
Deviation_From_Perfect_Parallelness_DEG,0,0
Geometric_Correction_MM,0,60
Ignore_Top_G_Pixel_Percent,25,0
Ignore_Bottom_G_Pixel_Percent,10,0

Time (min),A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Input_Image
1170,"134,782","137,529","64,952","148,920","152,921","149,430","156,534","154,514","146,153","145,009","162,158","147,643","145,590","155,362","144,422","164,882","161,887","156,920","7,949","9,694","10,695","10,024","9,316","8,530",,mtp03_20210508_124034.bmp
1200,"137,670","138,141","79,126","149,566","155,321","152,617","159,177","157,252","148,027","147,519","163,232","151,446","151,321","156,738","147,981","166,257","163,631","161,001","7,991","9,673","10,733","10,063","9,316","8,520",,mtp03_20210508_131032.bmp
1230,"137,710","139,426","83,080","153,015","156,182","155,258","161,033","157,823","152,053","151,111","162,763","156,443","154,044","157,715","150,513","167,604","165,694","161,387","7,970","9,677","10,743","10,060","9,314","8,504",,mtp03_20210508_134032.bmp
1260,"139,451","141,016","82,115","156,261","157,003","159,021","162,563","160,316","154,148","152,348","162,100","158,970","160,122","160,612","153,538","167,960","166,948","165,441","7,933","9,709","10,733","10,040","9,299","8,519",,mtp03_20210508_141033.bmp
1290,"142,118","140,326","79,648","157,531","156,763","160,077","163,754","161,849","154,610","154,267","161,766","162,221","162,572","160,675","155,303","168,845","168,194","166,409","7,964","9,689","10,680","10,054","9,266","8,534",,mtp03_20210508_144034.bmp
1324,"143,316","143,598","82,706","157,034","156,153","159,992","164,647","161,614","156,201","155,693","161,947","162,408","164,572","160,740","158,049","169,742","169,195","168,126","7,932","9,676","10,662","10,023","9,304","8,490",,mtp03_20210508_151430.bmp
1354,"145,000","145,098","82,586","156,916","155,684","157,251","164,757","160,024","156,972","156,496","161,408","164,107","166,397","160,565","160,037","169,313","170,048","169,435","7,934","9,683","10,658","10,039","9,280","8,484",,mtp03_20210508_154428.bmp
1388,"146,252","146,359","86,793","156,997","155,679","159,160","162,966","161,500","157,342","156,824","161,711","165,431","167,962","160,048","161,015","169,223","169,474","170,272","7,939","9,668","10,667","9,993","9,266","8,473",,mtp03_20210508_161821.bmp
1418,"145,586","147,959","86,969","157,259","156,762","158,445","164,157","160,327","157,753","157,924","161,575","165,780","168,713","160,626","162,235","168,807","169,527","171,461","7,944","9,682","10,685","10,022","9,311","8,519",,mtp03_20210508_164835.bmp
1448,"147,414","148,288","91,363","156,588","156,674","158,647","164,519","160,144","157,849","157,624","161,717","166,109","169,491","160,423","163,519","168,238","169,051","171,401","7,968","9,694","10,668","10,031","9,285","8,485",,mtp03_20210508_171835.bmp
1478,"148,298","148,860","89,935","156,765","157,072","159,128","164,215","160,735","157,629","157,223","161,870","166,283","169,507","160,958","164,499","168,564","169,195","172,442","7,949","9,712","10,661","10,018","9,291","8,498",,mtp03_20210508_174835.bmp
1508,"148,640","148,664","88,925","157,357","157,828","158,574","164,105","161,025","157,037","157,141","162,076","165,548","169,791","159,715","164,271","168,211","169,436","172,432","7,979","9,668","10,657","10,000","9,274","8,501",,mtp03_20210508_181835.bmp
1538,"149,937","150,398","90,456","157,132","157,393","158,501","164,102","160,532","157,647","157,628","161,860","165,877","169,712","160,417","163,896","168,403","169,576","172,658","7,962","9,701","10,679","9,996","9,257","8,460",,mtp03_20210508_184835.bmp
1568,"150,582","151,023","95,938","158,623","158,334","159,540","164,149","161,105","157,135","158,067","162,351","165,741","169,487","160,736","163,713","168,299","169,439","172,573","7,930","9,682","10,669","10,038","9,241","8,416",,mtp03_20210508_191835.bmp
1598,"150,251","150,978","94,497","157,138","158,497","160,197","165,053","160,787","157,682","157,691","162,345","165,868","169,942","161,646","163,803","168,688","169,536","172,877","7,931","9,692","10,673","10,017","9,245","8,472",,mtp03_20210508_194835.bmp
1628,"152,363","151,728","98,143","158,667","158,026","159,720","165,088","161,675","158,175","157,834","162,132","165,739","169,520","162,147","163,837","168,459","169,674","172,496","7,973","9,651","10,677","9,987","9,245","8,476",,mtp03_20210508_201835.bmp
1658,"150,953","151,235","98,334","157,953","158,217","159,998","164,512","161,473","157,594","158,184","162,584","166,135","169,534","161,530","164,251","168,822","169,625","172,710","7,966","9,674","10,671","9,986","9,272","8,453",,mtp03_20210508_204835.bmp
"1688,25","151,627","151,175","102,743","159,012","158,486","160,507","165,119","162,041","158,340","158,293","162,609","166,445","169,745","162,249","164,417","168,793","169,789","172,536","7,932","9,684","10,647","9,972","9,263","8,470",,mtp03_20210508_211836.bmp
1718,"151,634","151,716","99,884","158,894","157,970","160,575","165,084","162,005","158,451","158,570","162,197","166,291","170,062","161,735","164,409","169,038","169,760","172,577","7,959","9,691","10,669","10,026","9,320","8,534",,mtp03_20210508_214835.bmp
1748,"152,513","152,143","104,078","159,239","157,736","160,524","165,224","162,242","158,370","158,653","162,481","166,728","170,354","162,488","164,936","169,268","170,086","172,706","7,941","9,667","10,648","10,007","9,246","8,476",,mtp03_20210508_221835.bmp
1778,"153,201","152,355","105,400","159,317","158,082","161,094","165,242","161,983","158,994","158,766","162,160","166,698","170,543","162,640","166,804","169,385","169,861","172,858","7,973","9,692","10,679","10,044","9,291","8,508",,mtp03_20210508_224834.bmp
"1808,25","153,401","152,503","104,888","159,407","158,255","161,644","165,305","162,307","159,091","158,970","162,391","166,906","170,167","162,767","167,065","169,112","169,908","172,985","7,919","9,689","10,645","9,983","9,260","8,371",,mtp03_20210508_231836.bmp
1838,"153,699","152,739","105,612","159,050","157,678","161,345","165,256","162,227","159,056","159,021","162,288","166,841","170,281","162,814","167,286","169,362","170,084","173,160","7,952","9,687","10,644","10,010","9,293","8,491",,mtp03_20210508_234835.bmp
1868,"154,263","153,108","105,498","159,230","157,681","161,948","165,305","162,425","158,754","158,904","162,232","167,080","170,600","162,644","167,116","169,205","170,148","173,320","7,941","9,680","10,701","10,023","9,323","8,481",,mtp03_20210509_001835.bmp
1898,"154,869","152,866","109,384","159,272","157,964","161,178","165,616","162,207","158,882","159,176","162,079","167,079","170,247","162,925","167,382","169,148","169,980","173,364","7,912","9,691","10,594","9,957","9,294","8,499",,mtp03_20210509_004835.bmp
"1928,25","154,962","153,637","112,512","159,173","157,839","161,904","165,294","162,350","158,759","159,009","162,276","167,045","170,467","162,755","167,557","169,108","169,887","173,374","7,886","9,625","10,593","9,995","9,231","8,403",,mtp03_20210509_011836.bmp
"1958,25","155,771","154,259","115,920","158,757","158,070","161,896","165,636","162,282","158,811","159,066","162,372","167,157","170,718","162,848","167,446","169,195","170,034","173,845","7,954","9,678","10,660","10,023","9,292","8,513",,mtp03_20210509_014837.bmp
1988,"156,217","154,411","117,380","159,467","158,073","162,250","165,809","162,286","158,665","159,066","162,126","167,112","170,812","162,497","167,649","169,000","170,049","173,705","7,896","9,661","10,658","9,984","9,302","8,445",,mtp03_20210509_021835.bmp
"2018,25","156,526","154,924","117,296","159,305","157,933","162,123","165,715","162,283","158,631","159,277","162,129","167,214","170,860","162,630","167,472","168,855","169,807","173,275","7,934","9,661","10,625","10,004","9,292","8,467",,mtp03_20210509_024837.bmp
2048,"156,632","154,894","119,767","159,395","157,601","162,208","165,598","162,247","158,590","159,160","162,176","167,147","170,608","162,627","167,529","168,564","169,833","173,712","7,903","9,664","10,613","9,978","9,240","8,397",,mtp03_20210509_031835.bmp
"2078,25","156,942","155,342","119,135","159,293","157,141","161,844","165,675","162,540","158,345","159,010","162,075","167,093","170,744","162,703","167,497","168,995","169,936","173,514","7,937","9,684","10,625","10,034","9,313","8,463",,mtp03_20210509_034836.bmp
"2108,25","158,030","155,355","120,505","159,373","158,055","162,171","165,949","162,332","158,569","159,093","162,146","167,203","170,664","162,936","167,442","168,824","169,830","173,373","7,951","9,703","10,641","10,020","9,300","8,513",,mtp03_20210509_041837.bmp
"2138,25","157,924","155,695","121,317","159,267","157,982","162,409","165,402","162,404","158,391","159,277","162,192","167,139","170,824","162,420","167,497","168,684","169,602","173,292","7,954","9,694","10,657","10,037","9,278","8,524",,mtp03_20210509_044836.bmp
"2168,25","158,544","156,152","121,122","159,179","157,635","162,247","165,746","162,494","158,184","159,218","162,104","167,193","170,800","162,640","167,571","168,626","169,527","173,678","7,930","9,677","10,614","10,023","9,272","8,460",,mtp03_20210509_051836.bmp
"2198,25","158,973","156,822","121,243","159,546","158,047","162,933","165,920","162,564","158,359","159,325","162,111","167,236","170,953","162,587","167,376","168,538","169,627","173,596","7,904","9,630","10,626","9,968","9,219","8,397",,mtp03_20210509_054836.bmp
2228,"159,236","156,923","121,295","159,317","158,156","162,703","166,041","162,558","158,209","159,148","161,973","167,112","171,173","162,615","167,346","168,429","169,639","173,434","7,931","9,647","10,628","9,963","9,285","8,421",,mtp03_20210509_061835.bmp
"2258,25","159,672","156,922","120,687","159,232","158,075","162,139","165,905","161,951","158,369","159,123","162,118","167,421","170,769","162,706","167,375","168,526","169,590","173,606","7,927","9,701","10,667","9,986","9,279","8,445",,mtp03_20210509_064837.bmp
"2288,25","159,165","156,860","121,406","158,968","157,900","162,709","165,878","162,439","158,284","159,325","162,091","167,074","170,923","162,164","167,444","168,507","169,628","173,746","7,968","9,698","10,652","10,019","9,303","8,501",,mtp03_20210509_071836.bmp
"2318,25","159,902","157,646","120,663","159,175","158,004","162,698","165,647","162,070","158,104","159,188","162,113","167,403","170,889","162,566","167,226","168,363","169,476","173,543","7,926","9,636","10,635","9,988","9,253","8,421",,mtp03_20210509_074836.bmp
"2348,25","160,023","157,532","121,441","159,347","158,511","163,318","165,369","162,546","158,110","159,234","162,031","166,907","170,701","162,681","167,165","168,075","169,401","173,606","7,877","9,631","10,608","9,995","9,225","8,391",,mtp03_20210509_081836.bmp
"2378,25","160,351","157,873","121,271","159,496","158,457","163,039","165,857","161,814","158,230","159,198","161,947","167,332","170,977","162,549","167,105","168,117","169,444","173,489","7,951","9,672","10,658","9,971","9,246","8,379",,mtp03_20210509_084837.bmp
"2408,25","160,459","157,858","121,866","159,437","158,288","163,316","165,953","162,528","158,205","159,254","162,109","167,208","170,929","162,529","167,099","168,060","169,351","173,717","7,909","9,672","10,604","9,989","9,230","8,457",,mtp03_20210509_091837.bmp
